Epoch,Train Loss,Validation Loss
1,5.3000435518181845,3.3660804828008017
2,3.7924215586289116,3.0608684619267783
3,3.306770894838416,2.5324185887972512
4,3.024940521820732,2.380384902159373
5,2.826549944670304,1.9136252999305725
6,2.4924016724462095,1.6450684865315754
7,2.5549524789271145,1.8815687696139018
8,2.7113670292107956,1.9624537229537964
9,2.7619396020536837,2.0942316353321075
10,4.351700762043828,6.3706739743550616
11,3.7162654218466384,2.768091301123301
12,2.830422098221986,3.7772521575291953
13,3.9841891527175903,2.1773484448591867
14,3.9767506018321477,3.908607323964437
15,4.583729930545973,1.575708384315173
16,4.105549595926119,4.379003524780273
17,4.58225219923517,3.114947199821472
18,3.991543921439544,4.725313504536946
19,3.2414612648409156,2.5150130027905107
20,4.307886665282042,3.0027348957955837
