Epoch,Train Loss,Validation Loss
1,3.406415378346163,3.3078256713019476
2,3.2359817729276767,3.202936675813463
3,3.017494797706604,3.0372170077429876
4,2.8600060869665707,2.911037471559313
5,2.67938037479625,2.7933808697594538
6,2.483070464695201,2.6664602756500244
7,2.3871078350964714,2.6003253195020886
8,2.215794994550593,2.4767018953959146
9,2.0875607588711906,2.413075976901584
10,2.0361904011053196,2.3216055499182806
11,1.8993673429769629,2.273977200190226
12,1.8207964195924646,2.1900859938727484
13,1.7347925235243404,2.0996402502059937
14,1.6717291334096123,2.071257816420661
15,1.6018015461809494,2.0566893815994263
16,1.5790247882113737,1.976211945215861
17,1.4936271029360153,1.999542276064555
18,1.482421594507554,1.9569843610127766
19,1.4923682282952702,1.9315749141905043
20,1.3890255759744083,1.909419920709398
