Epoch,Train Loss,Validation Loss
1,3.5306776972378002,3.579797214931912
2,3.181993182967691,3.392682817247179
3,2.951998507275301,3.182681401570638
4,2.7689985667957977,3.034093803829617
5,2.594103027792538,2.8614832295311823
6,2.3459068536758423,2.7199216418796115
7,2.1795634697465336,2.45361418194241
8,1.9997586257317488,2.3626515335506864
9,1.8683491279097164,2.264741857846578
10,1.7080271805033964,2.1207389963997736
11,1.6167606676326078,1.991476919915941
12,1.4736351370811462,1.8712621927261353
13,1.3834943210377413,1.7884102794859145
14,1.3115662020795487,1.7047632667753432
15,1.272432416677475,1.6327004830042522
16,1.1610719824538511,1.6089934508005779
17,1.1609401247080635,1.5560395982530382
18,1.0885394864222582,1.515879167450799
19,1.0096534613300772,1.4698295990626018
20,1.0099800018703236,1.4499753051333957
