Epoch,Train Loss,Validation Loss
1,3.900230138198189,3.8148492177327475
2,3.7925004959106445,3.7375712394714355
3,3.63610721671063,3.6591782172520957
4,3.492707926294078,3.5311527252197266
5,3.3346293283545454,3.364798823992411
6,3.175392544787863,3.265530069669088
7,2.994320133458013,3.1428220669428506
8,2.8670223070227583,3.0573273499806723
9,2.714705291001693,2.9101494550704956
10,2.631760545398878,2.86313005288442
11,2.4906017262002695,2.773828943570455
12,2.374704174373461,2.65742290019989
13,2.2097580432891846,2.6478262742360434
14,2.0945841903271885,2.46589203675588
15,2.023185647052267,2.45726478099823
16,1.9515212670616482,2.3976115783055625
17,1.8188291788101196,2.324010213216146
18,1.7944808109946873,2.300816814104716
19,1.7267934083938599,2.184373120466868
20,1.6809555136639138,2.211979707082113
