Epoch,Train Loss,Validation Loss
1,3.8429017066955566,3.8988705476125083
2,3.7683371875597085,3.8109941482543945
3,3.6233581771021304,3.7390358448028564
4,3.5274696868398916,3.6041484673817954
5,3.407823438229768,3.5435481468836465
6,3.2886434948962666,3.444701671600342
7,3.1698223196941875,3.346512039502462
8,3.0233192962148916,3.235362410545349
9,2.9376281655353047,3.1651121377944946
10,2.7421563293622886,3.034180839856466
11,2.6600598977959673,2.9336134990056357
12,2.5764913662620215,2.8867485523223877
13,2.4399169838946797,2.8163706064224243
14,2.3734875658284063,2.773393472035726
15,2.3161860237950864,2.6561696926752725
16,2.206069956655088,2.6115696827570596
17,2.1068429584088535,2.548849622408549
18,2.0332527575285537,2.4527633587519326
19,1.967508834341298,2.4286181529363
20,1.941135100696398,2.374683221181234
