Epoch,Train Loss,Validation Loss
1,4.31816115586654,4.142973820368449
2,4.006713898285575,3.8775702714920044
3,3.8303304340528403,3.735778530438741
4,3.592116418092147,3.6183836460113525
5,3.3660260490749194,3.4449531634648642
6,3.2089183641516645,3.2850462595621743
7,2.9602544722349746,3.109145681063334
8,2.778690410696942,2.9395649433135986
9,2.5577342613883642,2.7859480381011963
10,2.390486261119013,2.57921834786733
11,2.157735860866049,2.4328740437825522
12,1.9967559576034546,2.2723349928855896
13,1.8656765170719312,2.200489640235901
14,1.6751534835152004,2.0974764823913574
15,1.6447520670683489,2.0335150758425393
16,1.464333731195201,1.8982910513877869
17,1.3539703566095103,1.80337389310201
18,1.2980865084606668,1.733360509077708
19,1.1880024386488872,1.6598673065503438
20,1.1075866870258166,1.5500799417495728
