Epoch,Train Loss,Validation Loss
1,4.023849601330965,3.9105268319447837
2,3.7704028150309687,3.778987924257914
3,3.600026203238446,3.6306806405385337
4,3.425522524377574,3.4761718114217124
5,3.1899135216422705,3.2608246008555093
6,3.012342256048451,3.1122153202692666
7,2.808717903883561,2.953855355580648
8,2.5937534000562583,2.752389828364054
9,2.4253337383270264,2.5956454277038574
10,2.186820061310478,2.417987028757731
11,2.0183654971744702,2.2359344561894736
12,1.8625594222027322,2.1475831468900046
13,1.6923832841541455,2.0239869554837546
14,1.6138062580772068,1.9903487364451091
15,1.443373996278514,1.8247382243474324
16,1.3607228527898374,1.7400353749593098
17,1.235559282095536,1.6714016596476238
18,1.1696711389914802,1.5943798422813416
19,1.0999317454255146,1.534738580385844
20,0.9965578447217527,1.4909268816312153
