Epoch,Train Loss,Validation Loss
1,3.9727212657099185,3.788396676381429
2,3.723561203998068,3.6389912366867065
3,3.5094284492990244,3.4896874030431113
4,3.2895968478658926,3.3095763524373374
5,3.061086094897726,3.09478227297465
6,2.8401553941809614,2.9014637072881064
7,2.595847109089727,2.694486220677694
8,2.3755147975424062,2.54950745900472
9,2.1637342701787534,2.3797601064046225
10,1.9830062078393025,2.2047903140385947
11,1.804338434468145,2.0554792284965515
12,1.6392102811647498,1.8789327144622803
13,1.4813981626344763,1.7748050888379414
14,1.3341354649999868,1.6429911653200786
15,1.2162668316260627,1.5427536169687908
16,1.0955765351005222,1.4278059999148052
17,0.9965655259464098,1.3457794586817424
18,0.9199881994205973,1.2437342007954915
19,0.8378857374191284,1.1702730059623718
20,0.7557189542314281,1.0815634330113728
