Epoch,Train Loss,Validation Loss
1,3.4969962063957665,3.3511099815368652
2,3.1812257416108074,3.163034889433119
3,2.9455660651711857,3.0287081135643854
4,2.7458805266548607,2.822639915678236
5,2.526187174460467,2.578785684373644
6,2.307642929694232,2.3904505835639105
7,2.0885822702856625,2.2349114418029785
8,1.918445432887358,2.0927374495400324
9,1.7126546747544233,1.9229500426186457
10,1.5815438628196716,1.8107544448640611
11,1.45407836226856,1.7254247400495741
12,1.3438493223751293,1.593082931306627
13,1.2233461053932415,1.5489055448108249
14,1.1346408058615292,1.492750220828586
15,1.0183983515290653,1.4838227960798476
16,0.9649694930104649,1.3309005233976576
17,0.8889675473465639,1.3436011804474726
18,0.829143713502323,1.3249321513705783
19,0.7887394936645732,1.2572991450627644
20,0.7707593099159353,1.2086572382185194
