Epoch,Train Loss,Validation Loss
1,3.313280372058644,3.2201231585608587
2,3.145507349687464,3.1242016421424017
3,3.0319209028692806,3.041001876195272
4,2.9063227036420036,2.943351666132609
5,2.7641975809546078,2.841456413269043
6,2.63860084028805,2.7070403628879123
7,2.4942566717372223,2.6251770390404596
8,2.3680302290355457,2.4810575909084744
9,2.2311631160623886,2.391459438535902
10,2.113245697582469,2.2760150167677136
11,1.9918365899254293,2.215154343181186
12,1.8983740701394922,2.119999064339532
13,1.7597912970711203,2.078024400605096
14,1.6966321293045492,1.9794216023551092
15,1.6202243776882397,1.9140869776407878
16,1.5149124054347767,1.8524412976370916
17,1.455440896398881,1.812686151928372
18,1.3879314485718222,1.7981389893425836
19,1.3593543802990633,1.7619483603371515
20,1.298315390067942,1.6786062584982977
