Epoch,Train Loss,Validation Loss
1,3.990242087322733,3.8655784130096436
2,3.7857727900795313,3.7189083894093833
3,3.5934065424877666,3.497704267501831
4,3.412555673848028,3.3319685459136963
5,3.2170375015424644,3.1545501947402954
6,2.995753993158755,2.9754013617833457
7,2.7719395264335303,2.7942312161127725
8,2.5752309612605884,2.6325594186782837
9,2.378052213917608,2.445055842399597
10,2.1309015958205513,2.2610408067703247
11,1.9179068492806477,2.1321104764938354
12,1.7560740346493928,1.955546796321869
13,1.5910491476888242,1.8853240410486858
14,1.4265869182089101,1.749054213364919
15,1.3395667179771091,1.5744088391462963
16,1.1988680803257485,1.5069923202196758
17,1.0707562721293906,1.4661192496617634
18,0.9738195642181064,1.3987474242846172
19,0.8956591642421224,1.3280080358187358
20,0.8500349858532781,1.2815673450628917
