Epoch,Train Loss,Validation Loss
1,3.901994456415591,3.799728512763977
2,3.790697159974471,3.721853494644165
3,3.6572835445404053,3.591535290082296
4,3.496348629827085,3.4438509146372476
5,3.308667690857597,3.349276304244995
6,3.1520624886388364,3.1825618346532187
7,2.9740504907525103,3.091152787208557
8,2.799264265143353,2.945380926132202
9,2.6528162023295527,2.838117837905884
10,2.4661585351695186,2.67641019821167
11,2.339910968490269,2.559039274851481
12,2.153435370196467,2.4689238468805947
13,2.043625266655632,2.3194180130958557
14,1.8572638034820557,2.249314268430074
15,1.770617153333581,2.214754303296407
16,1.6263664857200955,2.053720712661743
17,1.5301578615022742,2.0190226833025613
18,1.4217854841895725,2.0174640417099
19,1.3365013521650564,1.8986455798149109
20,1.2690361116243445,1.8856725891431172
