Epoch,Train Loss,Validation Loss
1,3.8714412813601284,3.8352341254552207
2,3.743679202121237,3.776553153991699
3,3.648515255554863,3.720104217529297
4,3.5145256933958633,3.61820658047994
5,3.402187140091606,3.52621320883433
6,3.247983569684236,3.4114816188812256
7,3.1115139256352964,3.310952583948771
8,2.991681492846945,3.1884676615397134
9,2.812062761057978,3.0793081521987915
10,2.697816288989523,2.986801783243815
11,2.5785970998846968,2.8517090479532876
12,2.4228326859681504,2.792737046877543
13,2.2876866174780806,2.6582156817118325
14,2.1710619459981504,2.58223819732666
15,2.03927116808684,2.4709033966064453
16,1.8904485754344775,2.3735857407251992
17,1.8147597727568254,2.2896044651667276
18,1.6921026136564172,2.2334893345832825
19,1.566966025725655,2.137829005718231
20,1.5109409767648447,2.086067855358124
